Título principal,Subtítulo,Párrafo
,Sin subtítulo,"Para quienes ya conocen la obra de Kafka y algo de su biografía y, por ende, están al tanto de cómo influye la mala relación con su padre en su escritura, una de las primeras cosas que llama la atención es esa dedicatoria. Aunque, desde mi perspectiva, la vida del autor no es determinante para interpretar los textos, esa mención al padre no deja de ser una decisión curiosa, ya que entre los maltratos que exageradamente le recrimina en laCarta al padreestá su ausencia de sensibilidad para apreciar la literatura y el desinterés hacia sus escritos: “Mi vanidad y mi ambición padecían sin embargo por tu famosa manera de recibir mis libros: ‘colócalo sobre la mesa de noche’ (casi siempre jugabas a las cartas cuando llegaba un libro nuevo)”. El hecho de que el padre no confíe en que podía triunfar escribiendo nos lleva a pensar que esa dedicatoria tiene un tono irónico. Sin embargo, debemos considerar que la información que tenemos de los sentimientos negativos y las inseguridades que su padre le generaba proviene de un escrito personal que no estaba destinado a hacerse público y entonces, tal vez el autor no tuvo la voluntad de generar esa aparente contradicción."
,Sin subtítulo,"Dado que la publicación de esta selección de cuentos y la carta son contemporáneas, esto quiere decir que es un momento en el que la relación con su padre adquiere un peso altamente significativo en su producción escrita. En una carta dirigida a Max Brod en marzo de ese año, le confiesa: “Gracias por tu meditación ante Wolff. Desde que me he decidido a dedicar el libro a mi padre, tengo mucha urgencia de que aparezca. No porque gracias a él pudiera reconciliarme con mi padre —las raíces de nuestra enemistad son irreductibles—, sino porque habría realizado algo con él, es decir que, a pesar de no haber emigrado a Palestina, mi dedo habría hecho el viaje por el mapa”. De todas formas, desde mi perspectiva, la intencionalidad del autor no es un factor de importancia, lo importante es que haya querido o no, genera en el lector esa vacilación característica de toda su literatura."
,Sin subtítulo,"Algo a tener en cuenta en el momento de analizar los cuentos es que la gran cantidad de traducciones al español que hay puede generar lecturas muy diversas. Por eso, es necesario aclarar qué edición se utiliza. Las citas que aparecen en este libro pertenecen a losRelatos completosde la Editorial Losada de septiembre del 2006, con traducciones de Francisco Zanutigh Núñez, Nélida Mendilaharzu de Machan y Jorge Luis Borges. Leer los textos traducidos suma más ambigüedad a la multiplicidad de sentidos que poseen los textos originales, con lo cual la dificultad se potencia y el placer de leerlos para desenredar los sentidos también."
,Sin subtítulo,
,Sin subtítulo,
,Sin subtítulo,Continúa en...
,Sin subtítulo,
,Sin subtítulo,
,Sin subtítulo,"El texto de apertura deEl tiempo sin edad(Adriana Hidalgo): ""La edad acorrala a cada uno de nosotros entre una fecha de nacimiento de la que, al menos en Occidente, estamos seguros y un vencimiento que, por regla general, desearíamos diferir""."
,Sin subtítulo,Por Marc Augé
,Sin subtítulo,"“El problema de discutir las tradiciones de la narración en la Argentina plantea, al mismo tiempo, la discusión acerca de cómo la literatura nacional incorpora tradiciones extralocales”. Un fragmento de la primera clase deLas tres vanguardias(Eterna Cadencia Editora)."
,Sin subtítulo,Por Ricardo Piglia
,Sin subtítulo,"La sumersión final: algunas ideas en maelstrom alrededor de Jeff Buckley, Flannery O'Connor, John Everett Millais, Edvard Munch, Héctor Viel Temperley, Alfonsina Storni y Virginia Woolf."
,Sin subtítulo,"Uno de los ensayos deLa liberación de la mosca(Excursiones)un libro escrito ""al borde del mundo""por el mexicano Luigi Amara, también autor de libros comoSombras sueltasyLa escuela del aburrimiento."
,Sin subtítulo,"""Un gran lector es quien logra transformar nuestra experiencia de los libros que ha leído y que nosotros leemos después de él. (...) Reorganiza y reestructura el canon literario"", dice el ensayista y docente enBorges y los clásicos."
,Sin subtítulo,"La autora deLa noche tiene mil ojos,quien acaba de publicarEl arte del error, señala ""un pequeño tesoro escondido en los suburbios de la literatura"": Paul Féval y Ann Radcliffe, en las ""fronteras de la falsa noche""."
,Sin subtítulo,info@eternacadencia.com.ar
